Total renewable Energy,Solar,Wind Offshore,Wind Onshore
192386.0,756.0,128671.0,62959.0
115572.0,421.0,74843.0,40308.0
184808.0,325.0,136001.0,48482.0
306915.0,248.0,211389.0,95278.0
224814.0,386.0,158408.0,66020.0
237337.0,1146.0,166103.0,70088.0
232162.66666666666,891.1666666666666,168344.66666666666,62926.833333333336
226988.33333333334,636.3333333333333,170586.33333333334,55765.666666666664
221814.0,381.5,172828.0,48604.5
251515.0,668.0,179831.0,71016.0
287370.0,1026.0,201977.0,84367.0
299385.0,464.0,204542.0,94379.0
303386.0,451.0,205215.0,97720.0
260069.0,220.0,176126.0,83723.0
259891.0,886.0,173820.0,85185.0
171965.0,329.0,132345.0,39291.0
123466.0,1635.0,78698.0,43133.0
204482.0,1639.0,140635.0,62208.0
150063.0,979.0,105326.0,43758.0
141965.0,376.0,115064.0,26525.0
40200.0,1433.0,31734.0,7033.0
76658.0,649.0,56369.0,19640.0
28930.0,494.0,21899.0,6537.0
20128.0,355.0,14294.0,5479.0
37509.5,240.0,29471.5,7798.0
203772.0,1444.0,167302.0,35026.0
135994.0,533.0,110628.0,24833.0
18965.0,1726.0,13136.0,4103.0
193804.0,684.0,128310.0,64810.0
276041.0,1332.0,182558.0,92151.0
262984.0,520.0,175302.0,87162.0
304748.0,643.0,206107.0,97998.0
254351.0,603.0,176668.0,77080.0
262289.0,988.0,173415.0,87886.0
33774.0,1701.0,24439.0,7634.0
211462.0,1629.0,150700.0,59133.0
9512.0,602.0,5791.0,3119.0
14490.0,652.0,9577.0,4261.0
40123.0,905.0,27420.0,11798.0
100556.0,1126.0,65616.0,33814.0
151943.0,2289.0,91436.0,58218.0
107080.0,866.0,66305.0,39909.0
6819.0,1067.0,3961.0,1791.0
9479.0,1056.0,4438.0,3985.0
41773.5,1489.0,29251.75,11032.75
74068.0,1922.0,54065.5,18080.5
183603.5,1346.75,130222.5,52034.25
293139.0,771.5,206379.5,85988.0
259383.0,928.0,179183.0,79272.0
148389.0,2252.0,108436.0,37701.0
296165.0,700.0,201153.0,94312.0
159827.25,1115.75,107483.75,51227.75
23489.5,1531.5,13814.5,8143.5
58866.0,293.0,48828.0,9745.0
207604.0,1589.0,141406.0,64609.0
242371.0,3698.0,182459.0,56214.0
191475.0,2913.0,149862.0,38700.0
102146.0,2760.0,83490.0,15896.0
42173.0,3666.0,32672.0,5835.0
71288.0,4115.0,52415.0,14758.0
135910.0,2582.0,110594.0,22734.0
97094.0,2196.0,81241.0,13657.0
113141.0,2195.0,86869.0,24077.0
70056.0,3186.0,56188.0,10682.0
129992.0,3019.0,94479.0,32494.0
112391.0,2292.0,78291.0,31808.0
109779.0,2630.0,96440.0,10709.0
54408.0,1553.0,36457.0,16398.0
205143.0,131.0,150379.0,54633.0
61268.0,1414.0,47795.0,12059.0
223891.0,1001.0,166839.0,56051.0
268566.5,3013.0,191284.0,74269.5
225779.0,2596.0,157260.0,65923.0
82230.0,5557.0,58415.0,18258.0
247776.0,2516.0,183457.0,61803.0
110005.0,4312.0,77944.0,27749.0
65248.0,3321.0,40052.0,21875.0
64593.0,3920.0,45293.0,15380.0
170230.0,2040.0,127348.0,40842.0
204821.0,1724.0,154042.0,49055.0
292680.0,1278.0,209487.0,81915.0
273746.0,3580.0,195968.0,74198.0
287112.0,4897.0,197928.0,84287.0
229942.0,2558.0,152081.0,75303.0
129799.65625,3547.46875,96319.78125,29932.40625
172791.0,5564.0,116358.0,50869.0
132991.0,4770.0,102554.0,25667.0
145439.0,3242.0,110878.0,31319.0
284264.0,3001.0,199037.0,82226.0
208116.0,1712.0,161305.0,45099.0
213500.5,1678.0,169089.5,42733.0
192721.0,7013.0,131384.0,54324.0
86717.0,6495.0,49339.0,30883.0
36500.0,6955.0,19471.0,10074.0
18458.0,6743.0,8032.0,3683.0
100665.0,5159.0,62099.0,33407.0
83261.0,4094.0,65410.0,13757.0
20564.0,3064.0,9071.0,8429.0
27345.0,4921.0,14963.0,7461.0
103337.25,4030.5,64319.75,34987.0
179329.5,3140.0,113676.5,62513.0
165600.0,3335.0,108991.0,53274.0
192460.0,3519.0,120017.0,68924.0
63168.0,7396.0,38328.0,17444.0
114026.0,1954.0,65885.0,46187.0
55180.0,4799.0,30100.0,20281.0
48835.921875,5166.625,28488.953125,15180.34375
164561.0,5325.0,104425.0,54811.0
170492.0,3256.0,107145.0,60091.0
238664.0,3632.0,175852.0,59180.0
147887.0,6614.0,104315.0,36958.0
38619.0,3967.0,25807.0,8845.0
89498.0,5922.0,64839.0,18737.0
185675.0,1674.0,121574.0,62427.0
144812.0,6281.0,98669.0,39862.0
47221.0,4406.0,31058.0,11757.0
64999.0,6444.0,49168.0,9387.0
126483.0,2895.0,93258.0,30330.0
44527.0,6828.0,24324.0,13375.0
18695.0,5217.0,9616.0,3862.0
36042.0,7162.0,19498.0,9382.0
81868.0,4216.0,55123.0,22529.0
83450.0,3804.0,65902.0,13744.0
140139.0,8060.0,98743.0,33336.0
64192.0,4843.0,47793.0,11556.0
25168.0,4009.0,16404.0,4755.0
47023.0,4244.0,33299.0,9480.0
46371.0,6700.0,33857.0,5814.0
54698.0,1840.0,40225.0,12633.0
19982.0,2510.0,10761.0,6711.0
17293.0,4156.0,8543.0,4594.0
138331.0,5808.0,107235.0,25288.0
119379.0,7427.0,82792.0,29160.0
46530.0,7068.0,28065.0,11397.0
119168.0,7400.0,91202.0,20566.0
120812.0,6275.0,75786.0,38751.0
61273.0,6004.0,37181.0,18088.0
37567.0,4442.0,22149.0,10976.0
104064.0,7845.0,69094.0,27125.0
181462.0,4451.0,135149.0,41862.0
110828.0,4040.0,86599.0,20189.0
94946.0,5185.0,66630.0,23131.0
204372.0,5831.0,141017.0,57524.0
37844.0,4991.0,20485.0,12368.0
114645.0,7970.0,84613.0,22062.0
150337.0,6406.0,111760.0,32171.0
73728.0,7645.0,52000.0,14083.0
105511.0,4587.0,74001.0,26923.0
188054.0,4615.0,146713.0,36726.0
161123.0,3125.0,134542.0,23456.0
164125.0,8748.0,129869.0,25508.0
164805.0,3044.0,134409.0,27352.0
157525.0,7297.0,123513.0,26715.0
124889.0,9350.0,86606.0,28933.0
125507.0,9314.0,93074.0,23119.0
115530.0,9506.0,87646.0,18378.0
135972.0,9662.0,102176.0,24134.0
115694.5,9453.5,89765.5,16475.5
143137.0,9332.0,109744.0,24061.0
161818.0,9228.0,118329.0,34261.0
157756.0,9469.0,117980.0,30307.0
111946.0,5369.0,82542.0,24035.0
105408.0,8451.0,73027.0,23930.0
186137.0,9356.0,142536.0,34245.0
126608.0,8945.0,85227.0,32436.0
64204.0,9213.0,38576.0,16415.0
42866.0,9439.0,24033.0,9394.0
72763.33333333333,8332.166666666666,44563.5,19867.666666666664
102660.66666666666,7225.333333333334,65094.0,30341.333333333332
132558.0,6118.5,85624.5,40815.0
76681.0,5770.0,53159.0,17752.0
81263.0,8052.0,53502.0,19709.0
63341.0,5944.0,37572.0,19825.0
40829.0,8831.0,18183.0,13815.0
25182.0,7052.0,13347.0,4783.0
33083.0,8522.0,15974.0,8587.0
153223.0,7727.0,93236.0,52260.0
68770.0,5799.0,34349.0,28622.0
54863.0,2771.0,41092.0,11000.0
96317.0,3471.0,66930.0,25916.0
148162.0,6890.0,105691.0,35581.0
226338.0,2889.0,149552.0,73897.0
216202.0,4166.0,146924.0,65112.0
277780.0,4352.0,197174.0,76254.0
184837.0,5895.0,128257.0,50685.0
244377.0,3780.0,164313.0,76284.0
77472.0,6644.0,50405.0,20423.0
81731.0,9413.0,54799.0,17519.0
115931.0,8652.0,77219.0,30060.0
54524.0,6032.0,32698.0,15794.0
54356.0,8072.0,32548.0,13736.0
196145.0,7169.0,156312.0,32664.0
249304.0,6831.0,181731.0,60742.0
174913.0,6370.0,120677.0,47866.0
100544.0,6120.0,75279.0,19145.0
262610.0,5898.0,195940.0,60772.0
265750.0,3770.0,188819.0,73161.0
277541.0,5874.0,204022.0,67645.0
33148.0,5848.0,20206.0,7094.0
41227.0,4104.0,26360.0,10763.0
26410.0,6294.0,16539.0,3577.0
58834.0,5686.0,33146.0,20002.0
176415.0,2585.0,137642.0,36188.0
287923.0,2069.0,210541.0,75313.0
155015.0,4240.0,106438.0,44337.0
105664.0,6335.0,69976.0,29353.0
106953.0,5622.0,75312.0,26019.0
244791.0,2470.0,198082.0,44239.0
111872.0,5635.0,77827.0,28410.0
215258.0,5311.0,169565.0,40382.0
241390.0,2808.0,172237.0,66345.0
298755.0,2659.0,232234.0,63862.0
248334.0,4538.0,188681.0,55115.0
241935.875,3140.375,197179.375,41616.125
225653.0,4897.0,172099.0,48657.0
88626.0,4776.0,64822.0,19028.0
123895.0,3930.0,101071.0,18894.0
220724.0,5362.0,175687.0,39675.0
243469.0,1759.0,167065.0,74645.0
205284.0,3025.0,141528.0,60731.0
73819.5,5595.0,50293.5,17931.0
24209.0,3783.0,16684.0,3742.0
129916.0,5100.0,102834.0,21982.0
179571.0,2709.0,146851.0,30011.0
198823.0,3957.0,162737.0,32129.0
74251.0,5947.0,55323.0,12981.0
61407.0,5661.0,41206.0,14540.0
62726.0,7101.0,44950.0,10675.0
193004.0,3159.0,152284.0,37561.0
74333.0,3933.0,59238.0,11162.0
199402.0,3097.0,159245.0,37060.0
39451.0,4678.0,25820.0,8953.0
18013.0,7419.0,9276.0,1318.0
51722.0,6980.0,34759.0,9983.0
22632.0,5756.0,12166.0,4710.0
68584.0,3562.5,54631.0,10390.5
30652.0,2095.0,21043.0,7514.0
116178.0,4649.0,88453.0,23076.0
111569.0,3774.0,76769.0,31026.0
47194.0,5914.0,29954.0,11326.0
27025.0,4522.0,19171.0,3332.0
107630.0,2409.0,76816.0,28405.0
71319.0,4797.0,38689.0,27833.0
21394.0,4439.0,14067.0,2888.0
24042.0,5676.0,14888.0,3478.0
20854.0,6099.0,12864.0,1891.0
52407.0,6969.0,36571.0,8867.0
55677.0,6986.0,32756.0,15935.0
30571.0,6967.0,14537.0,9067.0
81851.0,7008.0,52219.0,22624.0
29405.0,6782.0,12849.0,9774.0
11157.0,6313.0,3957.0,887.0
38227.0,5491.0,26598.0,6138.0
81926.0,5997.0,56585.0,19344.0
27520.0,3669.0,21078.0,2773.0
149983.0,3177.0,115245.0,31561.0
23143.0,5326.0,13727.0,4090.0
50483.0,6278.0,34166.0,10039.0
47240.0,5517.0,32471.0,9252.0
91907.0,2546.0,71890.0,17471.0
274914.0,2827.0,211085.0,61002.0
366056.0,2812.0,271519.0,91725.0
361519.0,2767.0,279978.0,78774.0
124996.0,1296.0,88160.0,35540.0
116127.0,2765.0,77882.0,35480.0
106786.0,3516.0,79538.0,23732.0
220698.0,5047.0,174992.0,40659.0
145820.5,4348.5,114315.25,27156.75
70943.0,3650.0,53638.5,13654.5
116013.0,3430.0,86084.0,26499.0
247746.0,2882.0,199030.0,45834.0
238358.0,2070.0,181507.0,54781.0
58664.0,3805.0,43461.0,11398.0
144737.0,2675.0,111952.0,30110.0
56655.0,3370.0,38837.0,14448.0
348365.0,1169.0,258815.0,88381.0
305962.0,2981.0,225172.0,77809.0
233399.0,2115.0,178447.0,52837.0
368990.0,2157.0,273406.0,93427.0
332000.0,1579.0,235761.0,94660.0
61849.0,2823.0,45570.0,13456.0
119817.0,902.0,87372.0,31543.0
200454.0,2834.0,158760.0,38860.0
371675.0,1416.0,276006.0,94253.0
88464.0,1823.0,70847.0,15794.0
195898.75,2475.5,145362.25,48061.0
303333.5,3128.0,219877.5,80328.0
274375.0,2977.0,213692.0,57706.0
59812.0,2427.0,47809.0,9576.0
211217.0,3683.0,178369.0,29165.0
363302.0,2574.0,280264.0,80464.0
263372.0,657.0,212330.0,50385.0
326102.0,381.0,232469.0,93252.0
342224.0,1938.0,263318.0,76968.0
206478.0,1948.0,148106.0,56424.0
206296.875,1938.5625,149757.75,54600.5625
206115.75,1929.125,151409.5,52777.125
205934.625,1919.6875,153061.25,50953.6875
205753.5,1910.25,154713.0,49130.25
205572.375,1900.8125,156364.75,47306.8125
205391.25,1891.375,158016.5,45483.375
205210.125,1881.9375,159668.25,43659.9375
205029.0,1872.5,161320.0,41836.5
94487.0,1166.0,67717.0,25604.0
